groupId,section,level,difficulty,questionType,title,contextText,instructions,tags,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,translationVi
kanji_01,vocabulary,N5,easy,kanji_reading,Đọc Kanji cơ bản N5,,Chọn cách đọc đúng của từ trong ngoặc.,"kanji,N5,vocabulary",「先週」の読み方は？,せんしゅう,せんしゅ,ぜんしゅう,ぜんしゅ,A,"先 = せん、週 = しゅう → 先週 = せんしゅう (tuần trước)",Cách đọc của「先週」là gì?
kanji_01,vocabulary,N5,easy,kanji_reading,,,,,「食べる」の読み方は？,のべる,たべる,あべる,くべる,B,食べる = たべる (ăn),Cách đọc của「食べる」là gì?
kanji_01,vocabulary,N5,easy,kanji_reading,,,,,「毎日」の読み方は？,まいにち,まいび,もうにち,めいにち,A,"毎 = まい、日 = にち → 毎日 = まいにち (mỗi ngày)",Cách đọc của「毎日」là gì?
grammar_01,grammar,N5,easy,grammar_form,Trợ từ và mẫu câu N5,,Chọn đáp án đúng để hoàn thành câu.,"grammar,N5,particles",わたし＿学生です。,を,は,に,で,B,「は」は主題を示す助詞です。わたしは学生です = Tôi là sinh viên.,Tôi ___ là sinh viên.
grammar_01,grammar,N5,easy,grammar_form,,,,,きのう図書館＿勉強しました。,を,は,で,が,C,「で」は動作の場所を示します。図書館で勉強しました = Đã học ở thư viện.,Hôm qua đã học ___ thư viện.
grammar_01,grammar,N5,easy,grammar_form,,,,,りんご＿三つ買いました。,は,に,で,を,D,「を」は他動詞の目的語を示す助詞です。りんごを買う = Mua táo.,Đã mua ba ___ táo.
reading_01,reading,N5,medium,short_passages,Đọc hiểu đoạn văn ngắn,"わたしは田中です。毎朝7時に起きます。朝ごはんを食べてから、8時に学校へ行きます。学校で日本語を勉強します。12時に友だちとお昼ごはんを食べます。3時に学校が終わります。うちに帰ってから、テレビを見ます。11時に寝ます。",Đọc đoạn văn sau và trả lời câu hỏi.,"reading,N5",田中さんは毎朝何時に起きますか？,6時,7時,8時,9時,B,「毎朝7時に起きます」とあります。,Anh Tanaka mỗi sáng dậy lúc mấy giờ?
reading_01,reading,N5,medium,short_passages,,,,,田中さんは学校で何を勉強しますか？,英語,数学,日本語,科学,C,「学校で日本語を勉強します」とあります。,Anh Tanaka học gì ở trường?
reading_01,reading,N5,medium,short_passages,,,,,田中さんは何時に寝ますか？,10時,11時,12時,9時,B,「11時に寝ます」とあります。,Anh Tanaka đi ngủ lúc mấy giờ?
,vocabulary,N5,easy,word_meaning,Nghĩa từ vựng,,Chọn nghĩa đúng của từ được gạch chân.,"vocabulary,N5,meaning",この本はとても「おもしろい」です。,khó,thú vị,đắt,dài,B,"おもしろい = thú vị, hay",Cuốn sách này rất「thú vị」.
